Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
hm12_CWZ3447.2,0.153336140711225,0,0.0309561467233713,0,0,0.628506384515811,0,0.0370653228700208,0.0119918694870427,0.0399566964109489,0.0699939642693463,0,0,0,0,0.0590265505900824,0,0.00925181336887864,0,0.0432349414439144,0,0,0.992,-0.0725668079503275,1.16544587108651,1.08331983039064
hm13_CWZ3447.2,0.138384828998473,0,0.0259785921104419,0.0683472083989502,0,0.0509410408518585,0.0744012334417706,0,0,0,0,0.00766876201273674,0.177637961668285,0.0300835079341964,0.0782071697716923,0.500594559757021,0,0,0.32085051273578,0.0236510104212183,0,0,0.002,0.249712874235695,0.98458329071958,1.49674638810242
hm20_CWZ3447.2,0,0.0472686290431078,0.321604536304623,0,0.081664470044693,0,0,0.0408840170930745,0.129007783657647,0,0.00277248238347045,0,0,0.269887732877794,0,0,0,0.103083802711454,0.183174639406692,0,0.00560604247711967,0,0.966,-0.0301249189164211,1.11367095263636,1.18495413599968
hm24_CWZ3447.3,0.141008182891515,0,0.0330199002933191,0,0,0.509007240701306,0,0.0926004086007099,0,0,0,0.070731327801499,0.0869010853343637,0,0,0.0173485351575621,0,0.0625990599653654,0.00588705375988234,0,0,0,0.998,-0.140504450660489,1.17857694565258,1.01910279450552
hm25_CWZ3447.3,0.291580709264103,0,0.115654883732697,0,0.091260784289514,0,0,0.00702143641445969,0,0.0362347019101473,0.103045707042412,0,0,0.448053828967741,0,0,0,0,0,0.0208687398756737,0.000844009690310807,0,0.748,0.020697358691357,1.1143217490858,1.11456480118706
hm27_CWZ3447.2,0,0.293365599285697,0,0,0,0.415663996202847,0.0451054037627016,0.0810652812828054,0,0,0.014275921340516,0,0.0392007608800147,0,0.139319935840228,0.210821351683029,0,0,0.21316166341948,0.00544922354281209,0.00378290336481716,0,0.096,0.129637835711609,1.02842592794942,1.46121204060495
hm30_CWZ3447.2,0,0.400397732365284,0,0.0641329911731701,0,0.607588564568613,0,0.0913402985504418,0,0,0,0.0355169455907912,0.0337572965025061,0.0164798001166506,0.0467666987933521,0.0250225185568687,0,0.0155408201737791,0.186629826261019,0,0.00623123483588999,0,0.01,0.177952698506239,1.02518453687857,1.52940472748837
hm32_CWZ3447.2,0.150462656158654,0,0.0165031970066539,0.217674968293608,0,0.444786881217319,0.241412058312999,0,0,0,0,0.048417715504155,0.185485901867036,0,0.0603296391983623,0.730896402256584,0.0103752547099709,0.0838168444310568,0.0867651224394056,0,0.00152524102591927,0.00501528745523418,0,0.429342893761284,0.903111213843607,2.28346716987696
hm33_CWZ3447.3,0.143922583275313,0,0.0165195187050643,0,0,0.487688764008386,0,0.000311851773893095,0.0789291096285357,0,0.126847622721975,0,0.0279588499106224,0.0303393988588746,0,0.0465551670368512,0,0.10491328757633,0,0.0959317839904859,0.013974084304533,0,0.992,-0.071570736441044,1.1294149022271,1.17389202179086
hm34_CWZ3447.3,0,0.294565528637613,0,0,0,0.584252987596219,0.203946812995508,0.140098102337488,0,0,0.202054905203836,0,0.124190409150684,0.0648043042951106,0.132760129114985,0.257926095595625,0,0.15849378749595,0.0906281745899041,0,0,0.0153035403497471,0,0.400666271772136,0.915497998372272,2.26902477736267
