consensusClass,cor_pval,separationLevel,LumP,LumNS,LumU,Stroma-rich,Ba/Sq,NE-like
LumP,3.69096051943394e-90,0.686742668891995,0.619156508355046,0.516483529116479,0.522270010533457,0.439667035163191,0.427627539225768,0.170971463258105
Ba/Sq,3.06826933713256e-50,0.132132622480793,0.252421968282631,0.276003162452384,0.257384078641848,0.45393032255806,0.482437070365634,0.213078592013087
LumP,1.75462025601227e-88,0.412306501674332,0.614543185586399,0.525185371079676,0.550258047857873,0.392069207640319,0.337340303934723,0.173548092858271
NE-like,1.3087669286571e-47,0.869403205785009,0.0342369038791538,0.002710148202726,0.0994129968448613,0.0374100229881537,0.0498465289657059,0.470780574800572
LumP,2.2072532370438e-58,0.765077881349513,0.515914255877849,0.472842400900768,0.484587854334606,0.477095358797148,0.437078784316739,0.24613081467299
Stroma-rich,1.57168361874465e-47,0.48723707428213,0.356648654190744,0.4040667700361,0.426538879955459,0.470421103060384,0.346065305869888,0.19443875494864
Stroma-rich,1.70890289915816e-55,0.743172975610379,0.363055782048504,0.403495607439072,0.374153679179751,0.504458334446773,0.333192025299205,0.217556659329702
Stroma-rich,2.56324525598159e-53,0.925686475675382,0.390970629868332,0.43917661415078,0.440986794278108,0.495532002151825,0.43403926488147,0.200731806633976
LumP,1.81112228628607e-79,0.611345316760612,0.588358692134228,0.500556311827287,0.504913836491185,0.398793985364846,0.403173438921051,0.119542083114507
Stroma-rich,3.2989059277851e-45,0.740812540208711,0.299664425723924,0.362501224436763,0.388766050124157,0.459728741124641,0.365375561890466,0.206123475260037
NE-like,1.33748403762134e-39,0.980735755432857,0.0365004415531757,0.0363771079510775,0.105202885500538,0.110495610039202,0.103149228193151,0.43222178790736
LumP,4.63856887435175e-70,0.560357407307625,0.558210939737447,0.484657767327775,0.500995093126235,0.427552136486372,0.406209606912057,0.241958829601123
LumP,1.39006189761172e-69,0.850431506062643,0.556597499332193,0.505288176540889,0.517133139254465,0.502545044043205,0.515096619781767,0.256643585825056
LumU,1.197271876191e-67,0.275233208732627,0.495389335944047,0.541198513449722,0.549954833608328,0.540891961724278,0.380789719515121,0.23760751908396
Ba/Sq,9.4262712879302e-67,0.730501552069905,0.327250645262351,0.293161026270339,0.308565699463998,0.379601543587119,0.546827380239085,0.13659499887087
NE-like,7.22296257040636e-23,0.304119934834853,0.186870295150955,0.223052029613359,0.267795966309117,0.304547844850853,0.196595528725123,0.33038669462303
LumU,2.84739811521204e-49,0.081861451522285,0.417149266351486,0.438493586117882,0.478200807129759,0.474076677882894,0.357688557463226,0.31138700587131
Stroma-rich,1.80753989749269e-41,0.550980083326659,0.244584884380957,0.285343804302583,0.273902004722649,0.441673118956949,0.352386678299307,0.209172036203793
LumU,3.16038115265203e-42,0.488635116608653,0.35669785143992,0.395515274782719,0.445419261845744,0.411550643217188,0.234425129645075,0.279927994732158
LumU,3.27257365995956e-70,0.470031820721474,0.525781152027257,0.519386515314873,0.558721895019292,0.457893389897904,0.380961789403855,0.210769398844627
Stroma-rich,3.93533363888706e-59,0.618053614534112,0.492355561744217,0.499080014871197,0.481413862674962,0.518814069642132,0.402664147303659,0.184521590202028
Ba/Sq,2.09358952740158e-75,0.74115569614136,0.28551146090285,0.250252027307045,0.273397775823826,0.356141636928816,0.575721592070273,0.146135851692194
Ba/Sq,2.06180546876351e-51,0.957600233322215,0.368183043888113,0.329396820612381,0.377745384654706,0.377589118474772,0.48749292584151,0.254557778694203
LumU,7.80223259829434e-44,0.758365673063997,0.349892255954599,0.387244673562935,0.453219180903348,0.389022983579013,0.260015378530657,0.270415914395657
LumNS,6.61997355651494e-67,0.345406153156599,0.50250144375819,0.547365370709224,0.536694503887711,0.530441939652914,0.403411107588295,0.181760543781151
Ba/Sq,7.33220554242692e-73,0.65399922926202,0.355775037861101,0.325758632371842,0.345718828883002,0.425749760126764,0.567517626092592,0.250173695710959
LumP,5.55339737560821e-67,0.849681959923754,0.5476324453558,0.440737038498155,0.452650405990735,0.394945301868036,0.430957048442143,0.187264014784765
Ba/Sq,2.12756421309397e-79,0.922177608873119,0.318294584773497,0.23886076538474,0.277027587965316,0.314016197619726,0.588145797702448,0.17026843034501
LumP,3.42763874897137e-45,0.814441948955295,0.459650802857175,0.443509115011082,0.43915663091738,0.440506329300386,0.352229566908856,0.165336129478818
LumP,4.0795411311661e-77,0.489442487823514,0.581108735513039,0.473473679215739,0.499464488205601,0.35512237830985,0.321854331301609,0.19943466519021
LumU,6.01223527375911e-53,0.362281329051702,0.43658301581216,0.474127084047459,0.493986604957335,0.441754287875381,0.294646245653001,0.207989265472276
LumP,5.0612936916194e-73,0.417635357596197,0.568043567245576,0.553332494950865,0.55648479852178,0.527401238476135,0.423136481492387,0.236906694606865
Ba/Sq,1.91428185218188e-73,0.810553861960354,0.263349281122054,0.194346983398656,0.201079770552422,0.296096554482984,0.569418700632172,0.0748655636277496
LumP,4.06794397883151e-79,0.936116438071178,0.587287282899435,0.468078549231729,0.468677024734424,0.419657685056923,0.453086818007609,0.144897771599777
Ba/Sq,7.92472692896235e-26,0.62847300134164,0.135820896317278,0.136903497215441,0.20043022508661,0.253268460179188,0.351262364531439,0.27307213925288
Ba/Sq,4.80026760152945e-62,0.0968993378777516,0.427380890846058,0.442982393042191,0.421106580751744,0.520665219452227,0.529837288976006,0.189355936044235
LumP,2.15946527334492e-57,0.897839089385031,0.512035332313647,0.425592620325328,0.438197918346335,0.433999988400242,0.416011476633823,0.226573212173401
NE-like,7.64383206457351e-22,0.865722374137584,0.220259054958108,0.202408430423159,0.271305515085413,0.256134205484677,0.270512282459676,0.322769269041273
LumP,2.49088970591e-60,0.632358172090725,0.523397931270963,0.483160098508877,0.480101568148189,0.439431503975294,0.431650236938733,0.168739414842188
LumU,3.50018381788952e-47,0.138434812382146,0.447578156376085,0.464889060136625,0.468843813615584,0.432974225595489,0.278938453311941,0.130686948684589
Ba/Sq,4.33282537047557e-48,0.706848125594292,0.252334690977484,0.208304446605873,0.243776210130261,0.313981439957396,0.4729422589264,0.155400349680399
LumP,8.32593621970392e-85,0.187834660541893,0.604155275489265,0.588721177059911,0.569995601224661,0.473977884541014,0.308797590922365,0.12938022990589
