abis_Monocyte conventional,abis_NK cell,abis_T cell CD8+ memory,abis_T cell CD4+ naive,abis_T cell CD8+ naive,abis_B cell naive,abis_T cell CD4+ memory,abis_T cell MAIT,abis_T cell gamma delta VD2,abis_Neutrophil,abis_T cell gamma delta non-VD2,abis_Basophil,abis_Monocyte non-conventional,abis_B cell memory,abis_Myeloid dendritic cell,abis_Plasmacytoid dendritic cell,abis_B cell plasma immature,Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score),consensus_tme_B cell,consensus_tme_cytotoxicity score,consensus_tme_Myeloid dendritic cell,consensus_tme_Eosinophil,consensus_tme_Macrophage,consensus_tme_MAST cell,consensus_tme_NK cell,consensus_tme_Neutrophil,consensus_tme_T cell CD4+,consensus_tme_T cell CD8+,consensus_tme_T cell gamma delta,consensus_tme_T cell regulatory (Tregs),consensus_tme_Macrophage M1,consensus_tme_Macrophage M2,consensus_tme_Endothelial cell,consensus_tme_Cancer associated fibroblast,consensus_tme_Monocyte,consensus_tme_immune score,EPIC_B cell,EPIC_Cancer associated fibroblast,EPIC_T cell CD4+,EPIC_T cell CD8+,EPIC_Endothelial cell,EPIC_Macrophage,EPIC_NK cell,EPIC_uncharacterized cell,StromalScore,ImmuneScore,ESTIMATEScore,TumorPurity,mcp_counter_T cell,mcp_counter_T cell CD8+,mcp_counter_cytotoxicity score,mcp_counter_NK cell,mcp_counter_B cell,mcp_counter_Monocyte,mcp_counter_Macrophage/Monocyte,mcp_counter_Myeloid dendritic cell,mcp_counter_Neutrophil,mcp_counter_Endothelial cell,mcp_counter_Cancer associated fibroblast,timer_B cell,timer_T cell CD4+,timer_T cell CD8+,timer_Neutrophil,timer_Macrophage,timer_Myeloid dendritic cell,xcell_Myeloid dendritic cell activated,xcell_B cell,xcell_T cell CD4+ memory,xcell_T cell CD4+ naive,xcell_T cell CD4+ (non-regulatory),xcell_T cell CD4+ central memory,xcell_T cell CD4+ effector memory,xcell_T cell CD8+ naive,xcell_T cell CD8+,xcell_T cell CD8+ central memory,xcell_T cell CD8+ effector memory,xcell_Class-switched memory B cell,xcell_Common lymphoid progenitor,xcell_Common myeloid progenitor,xcell_Myeloid dendritic cell,xcell_Endothelial cell,xcell_Eosinophil,xcell_Cancer associated fibroblast,xcell_Granulocyte-monocyte progenitor,xcell_Hematopoietic stem cell,xcell_Macrophage,xcell_Macrophage M1,xcell_Macrophage M2,xcell_Mast cell,xcell_B cell memory,xcell_Monocyte,xcell_B cell naive,xcell_Neutrophil,xcell_NK cell,xcell_T cell NK,xcell_Plasmacytoid dendritic cell,xcell_B cell plasma,xcell_T cell gamma delta,xcell_T cell CD4+ Th1,xcell_T cell CD4+ Th2,xcell_T cell regulatory (Tregs),xcell_immune score,xcell_stroma score,xcell_microenvironment score
0.668,1.46,-1.73,2.98,0.675,-0.0264,4.34,1.93,-1.25,1.74,0.751,0.413,1.42,0.769,0.172,0.163,0.00066,P014,0,0.435487141779389,0.154801213685606,0,0.111074131893725,0.159423779038691,0,0,0,0,0.101095936539679,0,0,0,0.0650082156695863,0,0,0,0,0.0814386829947841,0.0234445023582134,0,0.00600000000000001,0.270902351782448,1.0044961394757,1.13177360395967,-0.17227259,-0.24900256,-0.18023331,-0.20169007,-0.0269434,-0.0930357,-0.3370317,-0.27151464,-0.19741456,-0.16413848,-0.31609291,-0.19842399,-0.12157243,-0.16603538,-0.18871243,0.01094917,-0.17311124,-0.13810558,0.01910334,0.01479513,0.1372976,0.02794843,0.03627266,0.004061369,2.440929e-09,0.7605214,-1485.50292493345,-574.962801868395,-2060.46572680184,0.95458435570306,7.195779,0.1296,2.78198,5.2998,20.686144,9.8279,9.8279,10.99262,12.771827,6.663719,25.3602,0.08480781,0.12783467,0.18579661,0.12752924,0.04566327,0.47757021,0.1119406,0.04199355,0,0.00532835,0,0,1.136956e-18,0.004592028,0.0003346405,1.035159e-19,0,0.02972662,8.834752e-19,0,0.001782726,0.009729215,0,9.50845e-20,0.03719203,0.09734177,0.003782117,0.01270657,0.003003361,0.01154454,0.00887671,1.230732e-18,0.005918323,0,0,0.05372079,0,0.01506972,0,0.02265214,0.07026866,0.003216086,0.03962505,0.004864607,0.04448966
0.747,2.59,-1.94,5.3,1.11,-0.131,3.77,3.03,-1.16,1.33,0.111,0.376,0.494,7.23,0.234,0.237,-0.0382,P042,0.270816801550692,0.591917183874859,0,0.0307282512894975,0.157349833126495,0.387373464979425,0.0278480647097124,0,0.210463462951102,0,0.00524342849279274,0.0450965686930751,0,0.0978834960037027,0,0.0471327862905778,0,0,0.0567608143987972,0,0.02405954906434,0,0,0.592818310804299,0.805388211593827,1.95267370542507,0.478164121,0.114203208,0.046692444,0.123470225,0.123079032,0.227287553,-0.027182823,-0.011583645,0.287381436,0.228555558,0.006331104,0.331042534,0.054011336,0.10036957,0.093070537,0.082311644,0.095224254,0.210407253,0.1423912,0.02112884,0.3385387,0.03351773,0.06176074,0.002410111,4.470267e-10,0.4002528,-446.166990688833,1868.93737603248,1422.77038534364,0.686716898329967,15.539164,4.7524,9.1675,3.340733,55.451578,12.9726,12.9726,4.2646,12.203773,5.601341,34.533813,0.21962248,0.26144283,0.15227562,0.12927522,0.02938586,0.49543274,0.06787379,1.067135,0.02972002,0.2799381,0.002845339,5.216966e-18,1.966448e-18,3.383221e-19,0.0573641,0.001528878,0,0.3204945,0.01711757,0.007521555,0.0004855147,0.009015699,0,0.103607,0.03568644,0.04165106,0,2.558503e-18,0.01834693,0.04473315,0.4298791,0,0.09398131,1.316287e-18,2.423359e-19,0.5056833,0.03329211,0.01570676,1.990417e-18,0,0.002698219,0.06610025,0.7817087,0.05631136,0.83802
0.392,2.19,-0.938,4.79,-0.394,0.142,1.59,3.6,-0.724,1.39,-0.0799,0.466,0.34,0.236,0.366,0.257,0.00703,P012,0.0344266339096193,0.263610838114884,0,0,0,0.147794587983786,0,0,0.13179584919998,0.00775212227214678,0.0869572050501081,0,0.0887953252483368,0.214304128874731,0,0,0,0.0293540791646273,0,0.0318128452689885,0.0982670693994974,0,0.954,-0.0299676002625079,1.09970278219747,1.13487068448671,-0.11482228,-0.19118643,-0.20885056,-0.20906516,-0.12141662,-0.15180216,-0.15672059,-0.17905841,-0.17283092,-0.1543565,-0.15647591,-0.28283591,-0.24586446,-0.10681092,-0.12889115,0.09246251,-0.15428217,-0.14719444,0.005340248,0.01488713,0.1135817,0.06765776,0.05873524,0.001035461,4.26826e-09,0.7387624,-951.299369649331,-998.75304168701,-1950.05241133634,0.949630351354066,4.776807,6.6049,4.22608,6.6049,9.437411,11.110243,11.110243,5.30314,7.77572,9.996925,29.407912,0.08104498,0.10222762,0.20114168,0.11240694,0.01633601,0.4924892,0,0.05848808,1.88906e-18,0.003920251,0,0.03584389,0,1.511267e-18,0.03310967,0.03395028,1.807177e-18,0.09720033,0,0.02495368,0.0008433065,0.05383227,0.01374392,0,0.05838365,0.1982081,2.726023e-18,3.576894e-18,0.005675498,0.04109467,0.001052172,1.344623e-18,5.421011e-20,1.23407e-18,0,0.1970841,0.01149064,0.008995278,1.125825e-17,0.04508441,0.0928304,0.001290233,0.09818643,0.02691614,0.1251026
1.05,2.06,-0.402,4.97,-1.21,-0.0747,0.313,3.08,-0.256,1.56,-0.565,0.552,0.365,1.07,0.255,0.256,0.00239,P037,0,0.214863778288165,0,0,0,0.165536152122404,0,0.177242635103696,0.0509285844678015,0,0.241036815281751,0,0.145797418742562,0,0.00600185876180965,0,0,0,0,0.028237683727625,0.0453884220352886,0,0.842,0.00890455638960922,1.1108719149849,1.0750333485311,-0.1162647,-0.2752716,-0.2754678,-0.2344449,-0.1375935,-0.2661419,-0.2805443,-0.230998,-0.1718274,-0.2017141,-0.2484225,-0.2417889,-0.2616694,-0.2407102,-0.2625508,0.1186725,-0.1714753,-0.1752239,0.01244272,0.01498776,0.2083735,0.03549465,0.05276642,0.0003090161,8.299853e-10,0.675626,-1096.18681427953,-984.03274743511,-2080.21956171464,0.955444260641294,3.5104,0.16,4.5071,2.665667,9.891711,6.5237,6.5237,2.97508,15.042193,9.843322,28.292775,0.08019185,0.11591842,0.1880608,0.11162871,0.02109208,0.47475621,4.309805e-18,0.07374274,0,0.03605063,0,0.01167008,4.875411e-18,0.01357206,0.04613826,0.02231054,1.436238e-18,0.0370838,3.871049e-19,0.03010939,9.494629e-21,0.02473314,0.001039925,0,0.04519632,0.1299213,1.206827e-18,0,0.00277188,0.03648173,0.002767256,1.605876e-18,0.005291021,0.004573809,0,0.04263708,1.279939e-19,0.01850594,0,0.01148594,0.06384979,0,0.1079843,0.01236657,0.1203509
1.12,2.49,-1.01,5.95,-0.656,-0.0669,2.6,2.15,-0.557,1.51,-0.353,0.42,0.508,0.712,0.228,0.256,0.00548,P047,0,0.390930977313348,0.0710851058050177,0,0,0.242595088208084,0,0.0633226438046437,0.032076570564043,0,0,0.124774707361586,0.0254465593898965,0.0240783305448197,0,0.0214784611726794,0,0.093745980252867,0.10462924885129,0,0,0,0.056,0.158659437453729,1.04005550960031,1.19416367326827,-0.09726711,-0.28764999,-0.13917112,-0.27643696,0.03083417,-0.28213959,-0.30208367,-0.22841515,-0.1441002,-0.12679414,-0.25109625,-0.1264711,-0.07980233,-0.00866587,-0.06228207,0.16482156,-0.08830414,-0.09758924,0.0140662,0.03191581,0.1450869,0.06367489,0.06582625,0.002544759,3.590706e-10,0.6768852,-547.782213383499,-258.25500191371,-806.037215297209,0.883895012889292,8.513014,3.3124,3.22886,4.6978,13.836833,10.7765,10.7765,5.8418,14.749213,8.096209,50.467375,0.08613494,0.15063015,0.16082463,0.11457382,0.05948393,0.49452703,0.1273154,0.01379836,4.319541e-19,1.036846e-19,0,0.008179466,0.03021629,0,0.001677333,0.00674895,0,0.02211914,1.018308e-19,0,0,0.05531482,4.82731e-19,0.08654825,0.02492883,0.1414126,0.01400375,0.02652831,0.0217836,0.001003921,0,0,0,0,5.988858e-18,0.03263053,0,0.007066799,1.867765e-18,0.01947958,0.001755072,0,0.02032225,0.07093154,0.09125378
1.03,2.08,-1.3,3.57,-0.042,0.331,3.42,1.98,-0.977,1.75,0.122,0.413,0.32,0.00235,0.296,0.31,0.00854,P003,0.209400053666774,0,0.0304621127464886,0,0.165815949757281,0.0209379296685907,0,0.093010797175285,0,0,0,0.117411747237437,0.00904963649333166,0.13396414091598,0,0,0,0,0.093988915970924,0,0,0,0.962,-0.0330798942753193,1.12343956737057,0.874041283632092,-0.1358165,-0.3031936,-0.3102669,-0.3153337,-0.1555416,-0.3903467,-0.3084896,-0.2533798,-0.2709385,-0.280402,-0.358903,-0.2560658,-0.2635534,-0.2727052,-0.1928758,0.3469728,-0.2153782,-0.208555,0.009657897,0.04529496,0.103622,0.0365656,0.04574213,0.0019153,8.930891e-11,0.7572021,-264.653073670631,-1382.56423291234,-1647.21730658297,0.934766600478042,2.47425,0.49,2.48406,1.1655,5.838011,4.652629,4.652629,1.3084,9.273073,6.990875,69.169237,0.07539591,0.10324504,0.19799502,0.10652934,0.04981744,0.49337766,0,0.02714105,0,0,0,3.999381e-18,0,0.006366871,1.099968e-17,0,0,0.01710984,3.735235e-19,1.520307e-18,8.029212e-19,0,2.450442e-18,0.1678894,0.02172001,0,0,0.002135827,4.779344e-19,0.005976594,5.572141e-20,0,0.007087632,1.699762e-19,0,0.2166015,1.142952e-19,0.007126484,5.657364e-18,0.04426947,0.1996654,0,0.02207843,0.08447789,0.1065563
2,2.33,-0.54,3,-0.144,0.0188,4.63,2.79,-0.21,2.18,-0.92,0.267,0.901,0.638,0.379,0.368,0.00104,P011,0,0.234904787025638,0.137159986848122,0.186300785098249,0,0.252308068160242,0,0,0.0860146221982803,0,0,0.178384684403804,0.0360312275719165,0,0,0.116236201505899,0,0,0.195277300765046,0,0,0.107239117729457,0.002,0.330881916992502,0.951000341907897,1.52985678130665,-0.089441837,0.001963055,-0.018956866,-0.067522972,0.130320443,-0.054254748,-0.050532525,-0.028005341,0.051049719,0.075602249,-0.035841271,0.061879633,0.031884082,0.098623491,0.345277717,0.18112615,0.067714076,0.043622392,0.01466774,0.03723735,0.1749482,0.06108723,0.1350712,0.007547617,7.568476e-11,0.5694406,331.238154284726,803.847485198687,1135.08563948341,0.716792722609716,6.700521,10.24,8.41164,2.392567,15.972433,13.874414,13.874414,4.66754,15.806553,15.406287,56.73265,0.08226261,0.17273164,0.19405838,0.12961784,0.08451581,0.49626593,0.2333901,4.838105e-19,3.301382e-18,0.002284075,0,9.992698e-18,0,2.829776e-21,0.002650999,0.06313634,2.787342e-18,0,0.003841237,0.001515642,0.005689558,0.1442905,1.070045e-17,0.06160148,0.01126204,0.3719345,0.04468712,0.03719175,0.03103082,5.18962e-18,0,0,0,1.06944e-18,0,0,0,0,0,0,0.04548508,7.341317e-18,0.03535179,0.102946,0.1382978
2.13,2.15,-0.94,4.73,-0.826,0.258,3.65,2.4,-0.607,2.5,-0.363,0.359,0.47,0.292,0.229,0.47,0.00811,P018,0,0.0677050769697199,0.397425904303172,0.101382011247266,0,0.101578958807815,0,0.0230067462393247,0,0,0,0.0748782694096158,0,0.237456270890428,0.106489136257596,0.120990886378708,0.0853703966754283,0,0,0.0215995704225409,0,0.0698236704799991,0,0.506237629760027,0.861619686662932,1.40770689808161,-0.12011099,-0.17260739,0.07861329,-0.01683986,0.21537631,0.07034266,-0.23815127,-0.03580824,-0.06321013,-0.05450222,-0.1827117,-0.10027168,0.15111736,0.16609434,-0.09786823,0.45910388,0.02716743,0.03036006,0.01136563,0.05115856,0.1878513,0.03159569,0.04519912,0.005084191,4.613423e-09,0.6677455,570.93845962442,411.308907622026,982.247367246447,0.732254566792122,2.97215,0.0016,4.63898,2.913267,27.0889,13.412186,13.412186,3.17408,12.911347,6.899491,79.185762,0.08149744,0.15442191,0.19226825,0.14120881,0.05294569,0.54370664,0.1693665,0.0188005,2.089911e-19,0,4.264279e-19,3.00209e-19,0.006855823,0,3.000236e-19,0.02263601,0,0,0.02495188,6.749912e-19,0.01783812,0.01225759,0,0.02871395,0.03270168,0.1349006,0.04639007,0.03154343,0.0149648,0.006338423,3.007244e-19,4.869747e-18,2.322081e-20,1.508135e-19,3.987121e-18,0.03773777,0.01584684,0.03678964,1.546416e-17,0.1184222,0.05121374,0.01472013,0.05957807,0.02063893,0.080217
2.1,2.72,-0.679,6.43,-1.26,-0.0276,1.36,2.74,-0.555,1.2,-0.644,0.456,0.671,0.782,0.167,0.199,0.00776,P083,0,0.367154296191686,0.0451215214350932,0.0168910920205013,0,0.283049943608206,0.0199161137568598,0,0,0,0.0855972895211301,0,0.0431423400566158,0.0617847490515407,0,0,0.00643521130250529,0.0108984802665157,0.174815086660001,0,0,0.0141611631064793,0.022,0.196644063139709,1.01453721386295,1.12896728697713,-0.14485741,-0.26341501,-0.18172123,-0.21620554,0.02300402,-0.26170165,-0.34564165,-0.1643887,-0.16921003,-0.14620942,-0.2862567,-0.24169687,-0.14740991,-0.08579086,0.1429911,0.29886318,-0.10728997,-0.11348008,0.01605198,0.03564475,0.1358912,0.02617945,0.0674521,0.003463439,4.261043e-08,0.715317,33.8661917296469,-213.962638488324,-180.096446758677,0.837255785731534,5.235564,0.0289,3.75612,4.422467,17.025267,9.497857,9.497857,8.90042,12.135247,9.589675,58.366425,0.08328255,0.13799656,0.18293868,0.12674927,0.05618313,0.49590051,0.05897885,1.205362e-19,7.840591e-19,5.823456e-19,0,4.045395e-18,3.256901e-18,0,0,5.554756e-18,0,0.00697258,2.713837e-18,0,0,0.04153407,0,0.1219135,0.03042827,0.1700697,0.01204162,0.01899042,0.01160918,0.005080271,0,0,0.002583961,0,0,0.08481497,8.810471e-20,0.002285741,1.822642e-17,0.00408361,0.0414172,2.04656e-18,0.01141459,0.08172381,0.0931384
1.51,2.05,-1.09,2.78,0.741,0.188,3.43,1.71,-0.813,1.7,-0.00159,0.309,0.222,0.402,0.18,0.299,0.00399,P081,0,0.306465411229933,0,0,0,0.240857807976503,0,0,0.0947568926770651,0,0,0.0748914415252038,0.234817727666985,0.183271934273464,0.0459483625546394,0,0,0,0.0209976839076388,0,0.0106678247644276,0,0.274,0.0903255923129221,1.05305127566259,1.21267508657586,-0.12328691,-0.15543304,-0.18717382,-0.26314693,-0.04818574,-0.1832032,-0.17523766,-0.148465,-0.12515245,-0.10218494,-0.22119783,-0.22798463,-0.16648486,-0.10690221,-0.15030509,0.06051101,-0.04530285,-0.09686569,0.02240211,0.01572928,0.1728288,0.06837943,0.05754698,0.001379515,1.88042e-10,0.6617339,-1138.83734179644,-308.202659929931,-1447.04000172637,0.923925664593798,3.2255,6.6049,1.66362,6.6049,14.270633,5.816143,5.816143,2.70864,11.318747,7.659616,34.4757,0.09161148,0.120631,0.18237521,0.12638948,0.022165,0.48033476,0.004806052,0.03611951,2.763444e-20,0.007002585,6.345089e-18,0,0,1.022697e-18,0,1.607475e-17,9.293021e-18,0.03826993,0,0.007605909,1.23375e-19,0.02068819,1.388811e-18,1.289153e-18,0.08769866,0.232767,0,3.849529e-18,0,0.03184108,0,2.326455e-19,0.004265045,7.613825e-21,2.572948e-17,0.4243302,0,0.01174985,0,0.04565567,0.03935946,0.05096812,0.04530706,0.01034409,0.05565115
