consensusClass,cor_pval,separationLevel,LumP,LumNS,LumU,Stroma-rich,Ba/Sq,NE-like
LumU,7.76030803673231e-79,0.356644586218217,0.556250809053689,0.542144830798522,0.58391472577991,0.470550250044706,0.382713483175572,0.231339084581567
Stroma-rich,1.35033955238734e-49,0.938217195328879,0.391049159562942,0.407748385571619,0.406012016067616,0.477389478808468,0.400312844601252,0.302777810443249
LumP,9.35099724535109e-55,0.478413103328534,0.499155584249294,0.424169645119318,0.447808877963504,0.359487259403021,0.317546592406802,0.21155013747213
LumP,1.45286434718501e-58,0.639216903706742,0.514271720849734,0.439904540672834,0.443226549185335,0.366350750471112,0.2707108615539,0.13580861217532
LumP,1.68628119542374e-78,0.396660187228,0.582882258529942,0.565934290602385,0.572472969151831,0.547345557144681,0.506113034284962,0.23386598127384
Ba/Sq,1.82483981921713e-58,0.166845596736954,0.337600466112257,0.364471286829875,0.373507178786954,0.491427299786233,0.513888256003265,0.385026912007305
LumP,1.05537097451883e-84,0.341004738706356,0.601313379329351,0.56648570761468,0.539858143733532,0.5848969155047,0.498891738607339,0.217820960398393
Ba/Sq,1.46761750775034e-85,0.653650665180115,0.31253511223132,0.273622223607309,0.276008132270989,0.401465355692545,0.603767621419552,0.202975532825234
Stroma-rich,2.48820126546095e-82,0.718055967517979,0.530364593008578,0.558464674905578,0.558341342759228,0.594404415674612,0.463197925254413,0.256312476420151
LumP,6.48812315739566e-49,0.895417991107498,0.474392826444874,0.388617212736997,0.399314386080028,0.37129879964793,0.392473707390044,0.220639239234664
LumU,2.90643850075111e-40,0.246574090396571,0.427750110946556,0.407625259423712,0.433522624992869,0.412598249988809,0.362590907368012,0.24666429917511
Stroma-rich,2.62119271774888e-46,0.312100840735917,0.455460186856594,0.428233194893586,0.420039209472644,0.462652837590828,0.456159221708371,0.261246318102102
Stroma-rich,6.63971522758993e-33,0.413857452423243,0.294023183058963,0.310413388254342,0.339632763944362,0.39372819689848,0.376110777045506,0.362686006983567
LumP,4.56647713750195e-90,0.605541022008315,0.616336131851422,0.524367659215476,0.538109495440518,0.444185384903574,0.449935200705405,0.19546793782339
Ba/Sq,3.02295473625434e-42,0.588782307039153,0.359645213120475,0.280777352469724,0.318941726721968,0.283366122920453,0.443393155526768,0.18623508024875
Stroma-rich,5.0386267840902e-57,0.635956492866968,0.370651065802702,0.4062568920397,0.423907152097068,0.508250298460079,0.448999328159556,0.268681571477233
LumP,4.90767890034361e-53,0.61746384272561,0.492072437270083,0.373104026888696,0.401847412123123,0.318796933420998,0.317927884009933,0.191535586071632
Stroma-rich,3.31521813368181e-55,0.78080214284731,0.473665904908812,0.47101813472616,0.478620061180841,0.500982999455263,0.404231150787965,0.247219448714879
Stroma-rich,1.84753681054164e-55,0.0718823592641315,0.351290300887873,0.388349855678722,0.374690263303241,0.502008493095122,0.493347500223617,0.25048387318402
LumP,1.45000122580941e-86,0.664588308645081,0.606620125717825,0.533961963531375,0.523768083442844,0.470816012772199,0.415097974457067,0.137106936873242
LumP,2.57176269445591e-51,0.447930363488152,0.484821980969071,0.461683525906829,0.470721425876497,0.445001743154281,0.428338789744669,0.169196035910646
Stroma-rich,9.35469807394332e-57,0.638673892190458,0.489718261748602,0.496841451955453,0.49225852893577,0.507187215429529,0.393581771285464,0.241547957837696
Ba/Sq,8.31927000132882e-61,0.674827255891664,0.350371439855242,0.242975971890129,0.285429542617895,0.249113385976923,0.522827863360632,0.181713264771205
